x,y,text
5.7803164,8.730842,"Twice I actually hired myself as an under-mate in a Greenland whaler, and acquitted myself to admiration."
5.7936206,8.744127,"I must own I felt a little proud, when my captain offered me the second dignity in the vessel, and entreated me to remain with the greatest earnestness; so valuable did he consider my services."
7.912307,10.787131,My life might have been passed in ease and luxury; but I preferred glory to every enticement that wealth placed in my path.
5.582438,9.186321,"I am about to proceed on a long and difficult voyage, the emergencies of which will demand all my fortitude: I am required not only to raise the spirits of others, but sometimes to sustain my own, when theirs are failing."
4.6920547,9.8231,"They fly quickly over the snow in their sledges; the motion is pleasant, and, in my opinion, far more agreeable than that of an English stage-coach."
5.21604,9.802471,"The cold is not excessive, if you are wrapped in furs,--a dress which I have already adopted; for there is a great difference between walking the deck and remaining seated motionless for hours, when no exercise prevents the blood from actually freezing in your veins."
5.7596607,8.782569,"I shall depart for the latter town in a fortnight or three weeks; and my intention is to hire a ship there, which can easily be done by paying the insurance for the owner, and to engage as many sailors as I think necessary among those who are accustomed to the whale-fishing."
9.483373,10.563787,"Heaven shower down blessings on you, and save me, that I may again and again testify my gratitude for all your love and kindness."
5.751042,8.773934,"I have hired a vessel, and am occupied in collecting my sailors; those whom I have already engaged, appear to be men on whom I can depend, and are certainly possessed of dauntless courage."
8.437599,12.171774,But I have one want which I have never yet been able to satisfy; and the absence of the object of which I now feel as a most severe evil.
9.063427,10.244879,"I have no friend, Margaret: when I am glowing with the enthusiasm of success, there will be none to participate my joy; if I am assailed by disappointment, no one will endeavour to sustain me in dejection."
9.897043,10.345863,"I shall commit my thoughts to paper, it is true; but that is a poor medium for the communication of feeling."
8.724326,9.690599,"I have no one near me, gentle yet courageous, possessed of a cultivated as well as of a capacious mind, whose tastes are like my own, to approve or amend my plans."
7.7361693,8.9237585,"But it is a still greater evil to me that I am self-educated: for the first fourteen years of my life I ran wild on a common, and read nothing but our uncle Thomas's books of voyages."
8.1472,8.566159,"At that age I became acquainted with the celebrated poets of our own country; but it was only when it had ceased to be in my power to derive its most important benefits from such a conviction, that I perceived the necessity of becoming acquainted with more languages than that of my native country."
8.863974,9.818823,"It is true that I have thought more, and that my day dreams are more extended and magnificent; but they want (as the painters call it) _keeping_; and I greatly need a friend who would have sense enough not to despise me as romantic, and affection enough for me to endeavour to regulate my mind."
9.649616,10.915078,"Well, these are useless complaints; I shall certainly find no friend on the wide ocean, nor even here in Archangel, among merchants and seamen."
8.461101,9.418287,"My lieutenant, for instance, is a man of wonderful courage and enterprise; he is madly desirous of glory: or rather, to word my phrase more characteristically, of advancement in his profession."
9.02065,9.689538,"He is an Englishman, and in the midst of national and professional prejudices, unsoftened by cultivation, retains some of the noblest endowments of humanity."
5.788976,8.723135,"I first became acquainted with him on board a whale vessel: finding that he was unemployed in this city, I easily engaged him to assist in my enterprise."
8.814015,9.07898,"The master is a person of an excellent disposition, and is remarkable in the ship for his gentleness and the mildness of his discipline."
8.289691,9.162669,"This circumstance, added to his well known integrity and dauntless courage, made me very desirous to engage him."
6.050096,8.71102,"A youth passed in solitude, my best years spent under your gentle and feminine fosterage, has so refined the groundwork of my character, that I cannot overcome an intense distaste to the usual brutality exercised on board ship: I have never believed it to be necessary; and when I heard of a mariner equally noted for his kindliness of heart, and the respect and obedience paid to him by his crew, I felt myself peculiarly fortunate in being able to secure his services."
9.334361,9.066792,"I heard of him first in rather a romantic manner, from a lady who owes to him the happiness of her life."
9.650661,7.954014,"Some years ago, he loved a young Russian lady, of moderate fortune; and having amassed a considerable sum in prize-money, the father of the girl consented to the match."
9.838863,8.031189,"He saw his mistress once before the destined ceremony; but she was bathed in tears, and, throwing herself at his feet, entreated him to spare her, confessing at the same time that she loved another, but that he was poor, and that her father would never consent to the union."
9.935629,7.8896728,"My generous friend reassured the suppliant, and on being informed of the name of her lover, instantly abandoned his pursuit."
9.553136,7.9220724,"He had already bought a farm with his money, on which he had designed to pass the remainder of his life; but he bestowed the whole on his rival, together with the remains of his prize-money to purchase stock, and then himself solicited the young woman's father to consent to her marriage with her lover."
9.7586155,7.998745,"But the old man decidedly refused, thinking himself bound in honour to my friend; who, when he found the father inexorable, quitted his country, nor returned until he heard that his former mistress was married according to her inclinations."
8.85293,9.605164,"He is so; but then he is wholly uneducated: he is as silent as a Turk, and a kind of ignorant carelessness attends him, which, while it renders his conduct the more astonishing, detracts from the interest and sympathy which otherwise he would command."
8.219137,11.700149,"Yet do not suppose, because I complain a little, or because I can conceive a consolation for my toils which I may never know, that I am wavering in my resolutions."
5.410626,9.325515,Those are as fixed as fate; and my voyage is only now delayed until the weather shall permit my embarkation.
5.2595315,9.608212,"The winter has been dreadfully severe; but the spring promises well, and it is considered as a remarkably early season; so that perhaps I may sail sooner than I expected."
9.944389,10.219212,"I shall do nothing rashly: you know me sufficiently to confide in my prudence and considerateness, whenever the safety of others is committed to my care."
7.7944555,12.093995,"It is impossible to communicate to you a conception of the trembling sensation, half pleasurable and half fearful, with which I am preparing to depart."
5.079543,9.288733,"I am going to unexplored regions, to ""the land of mist and snow""; but I shall kill no albatross, therefore do not be alarmed for my safety, or if I should come back to you as worn and woful as the ""Ancient Mariner""?"
8.041646,9.655176,"I have often attributed my attachment to, my passionate enthusiasm for, the dangerous mysteries of ocean, to that production of the most imaginative of modern poets."
8.383072,9.63357,"I am practically industrious--pains-taking;--a workman to execute with perseverance and labour:--but besides this, there is a love for the marvellous, a belief in the marvellous, intertwined in all my projects, which hurries me out of the common pathways of men, even to the wild sea and unvisited regions I am about to explore."
5.1414757,9.247467,"Shall I meet you again, after having traversed immense seas, and returned by the most southern cape of Africa or America?"
10.02046,10.247578,Continue for the present to write to me by every opportunity: I may receive your letters on some occasions when I need them most to support my spirits.
7.7451706,8.682827,"This letter will reach England by a merchantman now on its homeward voyage from Archangel; more fortunate than I, who may not see my native land, perhaps, for many years."
5.076726,9.297043,"I am, however, in good spirits: my men are bold, and apparently firm of purpose; nor do the floating sheets of ice that continually pass us, indicating the dangers of the region towards which we are advancing, appear to dismay them."
5.1604104,9.5702715,"We have already reached a very high latitude; but it is the height of summer, and although not so warm as in England, the southern gales, which blow us speedily towards those shores which I so ardently desire to attain, breathe a degree of renovating warmth which I had not expected."
5.4096384,9.058655,"One or two stiff gales, and the springing of a leak, are accidents which experienced navigators scarcely remember to record; and I shall be well content if nothing worse happen to us during our voyage."
5.274636,9.424928,"Thus far I have gone, tracing a secure way over the pathless seas: the very stars themselves being witnesses and testimonies of my triumph."
9.824624,10.7618475,"So strange an accident has happened to us, that I cannot forbear recording it, although it is very probable that you will see me before these papers can come into your possession."
4.7097344,9.542836,"Last Monday (July 31st), we were nearly surrounded by ice, which closed in the ship on all sides, scarcely leaving her the sea-room in which she floated."
4.585832,10.227325,"About two o'clock the mist cleared away, and we beheld, stretched out in every direction, vast and irregular plains of ice, which seemed to have no end."
7.656692,11.961264,"Some of my comrades groaned, and my own mind began to grow watchful with anxious thoughts, when a strange sight suddenly attracted our attention, and diverted our solicitude from our own situation."
4.648616,9.942214,"We perceived a low carriage, fixed on a sledge and drawn by dogs, pass on towards the north, at the distance of half a mile: a being which had the shape of a man, but apparently of gigantic stature, sat in the sledge, and guided the dogs."
4.708658,9.957999,"We watched the rapid progress of the traveller with our telescopes, until he was lost among the distant inequalities of the ice."
5.544715,11.083643,"We were, as we believed, many hundred miles from any land; but this apparition seemed to denote that it was not, in reality, so distant as we had supposed."
4.777084,9.864083,"Shut in, however, by ice, it was impossible to follow his track, which we had observed with the greatest attention."
4.690697,9.829141,"About two hours after this occurrence, we heard the ground sea; and before night the ice broke, and freed our ship."
4.660683,9.796533,"We, however, lay to until the morning, fearing to encounter in the dark those large loose masses which float about after the breaking up of the ice."
5.7176557,9.065576,"In the morning, however, as soon as it was light, I went upon deck, and found all the sailors busy on one side of the vessel, apparently talking to some one in the sea."
4.571704,9.881737,"It was, in fact, a sledge, like that we had seen before, which had drifted towards us in the night, on a large fragment of ice."
5.686876,9.2146225,"Only one dog remained alive; but there was a human being within it, whom the sailors were persuading to enter the vessel."
8.1662,8.456595,"He was not, as the other traveller seemed to be, a savage inhabitant of some undiscovered island, but an European."
5.6255755,8.873173,"When I appeared on deck, the master said, ""Here is our captain, and he will not allow you to perish on the open sea."""
5.785343,8.730165,"""Before I come on board your vessel,"" said he, ""will you have the kindness to inform me whither you are bound?"""
5.541575,8.803599,"You may conceive my astonishment on hearing such a question addressed to me from a man on the brink of destruction, and to whom I should have supposed that my vessel would have been a resource which he would not have exchanged for the most precious wealth the earth can afford."
10.283646,10.903452,"Margaret, if you had seen the man who thus capitulated for his safety, your surprise would have been boundless."
5.947999,9.022315,"We accordingly brought him back to the deck, and restored him to animation by rubbing him with brandy, and forcing him to swallow a small quantity."
6.0256734,9.06736,"As soon as he showed signs of life we wrapped him up in blankets, and placed him near the chimney of the kitchen stove."
8.580742,11.275333,Two days passed in this manner before he was able to speak; and I often feared that his sufferings had deprived him of understanding.
5.9158025,9.012491,"When he had in some measure recovered, I removed him to my own cabin, and attended on him as much as my duty would permit."
9.561998,9.116618,"I never saw a more interesting creature: his eyes have generally an expression of wildness, and even madness; but there are moments when, if any one performs an act of kindness towards him, or does him any the most trifling service, his whole countenance is lighted up, as it were, with a beam of benevolence and sweetness that I never saw equalled."
9.615747,11.720192,"But he is generally melancholy and despairing; and sometimes he gnashes his teeth, as if impatient of the weight of woes that oppresses him."
9.621214,9.785154,"When my guest was a little recovered, I had great trouble to keep off the men, who wished to ask him a thousand questions; but I would not allow him to be tormented by their idle curiosity, in a state of body and mind whose restoration evidently depended upon entire repose."
6.921625,11.22568,"His countenance instantly assumed an aspect of the deepest gloom; and he replied, ""To seek one who fled from me."""
4.6447005,9.851067,"""Then I fancy we have seen him; for the day before we picked you up, we saw some dogs drawing a sledge, with a man in it, across the ice."""
8.534742,8.12041,"This aroused the stranger's attention; and he asked a multitude of questions concerning the route which the dæmon, as he called him, had pursued."
9.532388,10.11507,"Soon after, when he was alone with me, he said,--""I have, doubtless, excited your curiosity, as well as that of these good people; but you are too considerate to make enquiries."""
10.206808,10.42819,"""Certainly; it would indeed be very impertinent and inhuman in me to trouble you with any inquisitiveness of mine."""
9.849618,9.933984,"""And yet you rescued me from a strange and perilous situation; you have benevolently restored me to life."""
4.6235332,9.764948,Soon after this he enquired if I thought that the breaking up of the ice had destroyed the other sledge?
4.8012743,9.516548,"I replied, that I could not answer with any degree of certainty; for the ice had not broken until near midnight, and the traveller might have arrived at a place of safety before that time; but of this I could not judge."
5.855908,9.010884,"He manifested the greatest eagerness to be upon deck, to watch for the sledge which had before appeared; but I have persuaded him to remain in the cabin, for he is far too weak to sustain the rawness of the atmosphere."
8.644032,10.286924,"I have promised that some one should watch for him, and give him instant notice if any new object should appear in sight."
9.580698,9.410988,"The stranger has gradually improved in health, but is very silent, and appears uneasy when any one except myself enters his cabin."
8.980831,8.951683,"Yet his manners are so conciliating and gentle, that the sailors are all interested in him, although they have had very little communication with him."
9.950511,10.536183,"For my own part, I begin to love him as a brother; and his constant and deep grief fills me with sympathy and compassion."
9.394363,8.916997,"He must have been a noble creature in his better days, being even now in wreck so attractive and amiable."
9.027078,9.869336,"I said in one of my letters, my dear Margaret, that I should find no friend on the wide ocean; yet I have found a man who, before his spirit had been broken by misery, I should have been happy to have possessed as the brother of my heart."
8.626309,10.209813,"I shall continue my journal concerning the stranger at intervals, should I have any fresh incidents to record."
8.739215,9.689138,"He is so gentle, yet so wise; his mind is so cultivated; and when he speaks, although his words are culled with the choicest art, yet they flow with rapidity and unparalleled eloquence."
5.8288093,9.078747,"He is now much recovered from his illness, and is continually on the deck, apparently watching for the sledge that preceded his own."
8.306499,10.066235,"Yet, although unhappy, he is not so utterly occupied by his own misery, but that he interests himself deeply in the projects of others."
8.399848,9.726633,"He entered attentively into all my arguments in favour of my eventual success, and into every minute detail of the measures I had taken to secure it."
9.383453,11.18365,"I was easily led by the sympathy which he evinced, to use the language of my heart; to give utterance to the burning ardour of my soul; and to say, with all the fervour that warmed me, how gladly I would sacrifice my fortune, my existence, my every hope, to the furtherance of my enterprise."
9.17848,11.135061,One man's life or death were but a small price to pay for the acquirement of the knowledge which I sought; for the dominion I should acquire and transmit over the elemental foes of our race.
8.635206,11.07193,"At first I perceived that he tried to suppress his emotion; he placed his hands before his eyes; and my voice quivered and failed me, as I beheld tears trickle fast from between his fingers,--a groan burst from his heaving breast."
8.271797,10.530683,"Such words, you may imagine, strongly excited my curiosity; but the paroxysm of grief that had seized the stranger overcame his weakened powers, and many hours of repose and tranquil conversation were necessary to restore his composure."
9.333534,12.091063,"Having conquered the violence of his feelings, he appeared to despise himself for being the slave of passion; and quelling the dark tyranny of despair, he led me again to converse concerning myself personally."
9.081193,10.061734,"I spoke of my desire of finding a friend--of my thirst for a more intimate sympathy with a fellow mind than had ever fallen to my lot; and expressed my conviction that a man could boast of little happiness, who did not enjoy this blessing."
9.352887,10.346591,"""I agree with you,"" replied the stranger; ""we are unfashioned creatures, but half made up, if one wiser, better, dearer than ourselves--such a friend ought to be--do not lend his aid to perfectionate our weak and faulty natures."
9.31724,10.2707815,"I once had a friend, the most noble of human creatures, and am entitled, therefore, to judge respecting friendship."
8.729393,10.785057,"As he said this, his countenance became expressive of a calm settled grief, that touched me to the heart."
7.177175,9.885356,"The starry sky, the sea, and every sight afforded by these wonderful regions, seems still to have the power of elevating his soul from earth."
8.113916,10.328651,"Such a man has a double existence: he may suffer misery, and be overwhelmed by disappointments; yet, when he has retired into himself, he will be like a celestial spirit, that has a halo around him, within whose circle no grief or folly ventures."
8.65999,9.670319,"You have been tutored and refined by books and retirement from the world, and you are, therefore, somewhat fastidious; but this only renders you the more fit to appreciate the extraordinary merits of this wonderful man."
8.617142,9.616539,"Sometimes I have endeavoured to discover what quality it is which he possesses, that elevates him so immeasurably above any other person I ever knew."
8.860079,9.782126,"I believe it to be an intuitive discernment; a quick but never-failing power of judgment; a penetration into the causes of things, unequalled for clearness and precision; add to this a facility of expression, and a voice whose varied intonations are soul-subduing music."
9.456673,10.979609,"Yesterday the stranger said to me, ""You may easily perceive, Captain Walton, that I have suffered great and unparalleled misfortunes."
9.722953,11.784278,"I had determined, at one time, that the memory of these evils should die with me; but you have won me to alter my determination."
9.136371,10.989934,"You seek for knowledge and wisdom, as I once did; and I ardently hope that the gratification of your wishes may not be a serpent to sting you, as mine has been."
8.803557,11.267085,"I do not know that the relation of my disasters will be useful to you; yet, when I reflect that you are pursuing the same course, exposing yourself to the same dangers which have rendered me what I am, I imagine that you may deduce an apt moral from my tale; one that may direct you if you succeed in your undertaking, and console you in case of failure."
5.5944324,11.106341,"Were we among the tamer scenes of nature, I might fear to encounter your unbelief, perhaps your ridicule; but many things will appear possible in these wild and mysterious regions, which would provoke the laughter of those unacquainted with the ever-varied powers of nature:--nor can I doubt but that my tale conveys in its series internal evidence of the truth of the events of which it is composed."""
8.936773,10.773438,You may easily imagine that I was much gratified by the offered communication; yet I could not endure that he should renew his grief by a recital of his misfortunes.
8.974786,10.901099,"I felt the greatest eagerness to hear the promised narrative, partly from curiosity, and partly from a strong desire to ameliorate his fate, if it were in my power."
10.073797,11.357542,"I understand your feeling,"" continued he, perceiving that I wished to interrupt him; ""but you are mistaken, my friend, if thus you will allow me to name you; nothing can alter my destiny: listen to my history, and you will perceive how irrevocably it is determined."""
8.546268,10.157511,"I have resolved every night, when I am not imperatively occupied by my duties, to record, as nearly as possible in his own words, what he has related during the day."
8.985989,9.945322,"This manuscript will doubtless afford you the greatest pleasure: but to me, who know him, and who hear it from his own lips, with what interest and sympathy shall I read it in some future day!"
8.746249,10.493125,"Even now, as I commence my task, his full-toned voice swells in my ears; his lustrous eyes dwell on me with all their melancholy sweetness; I see his thin hand raised in animation, while the lineaments of his face are irradiated by the soul within."
5.7812753,9.369947,"Strange and harrowing must be his story; frightful the storm which embraced the gallant vessel on its course, and wrecked it--thus!"
8.826817,8.849176,CHAPTER I.   I am by birth a Genevese; and my family is one of the most distinguished of that republic.
9.084604,8.958365,My ancestors had been for many years counsellors and syndics; and my father had filled several public situations with honour and reputation.
9.018961,8.731405,"He was respected by all who knew him, for his integrity and indefatigable attention to public business."
9.622119,8.003016,"He passed his younger days perpetually occupied by the affairs of his country; a variety of circumstances had prevented his marrying early, nor was it until the decline of life that he became a husband and the father of a family."
9.353695,7.9115143,"One of his most intimate friends was a merchant, who, from a flourishing state, fell, through numerous mischances, into poverty."
9.368743,8.340841,"This man, whose name was Beaufort, was of a proud and unbending disposition, and could not bear to live in poverty and oblivion in the same country where he had formerly been distinguished for his rank and magnificence."
9.5336,7.468479,"Having paid his debts, therefore, in the most honourable manner, he retreated with his daughter to the town of Lucerne, where he lived unknown and in wretchedness."
9.506495,8.501699,"My father loved Beaufort with the truest friendship, and was deeply grieved by his retreat in these unfortunate circumstances."
9.218538,10.29936,He bitterly deplored the false pride which led his friend to a conduct so little worthy of the affection that united them.
7.8996296,9.032408,"He lost no time in endeavouring to seek him out, with the hope of persuading him to begin the world again through his credit and assistance."
9.2932205,8.311657,Beaufort had taken effectual measures to conceal himself; and it was ten months before my father discovered his abode.
6.810916,10.977097,"Overjoyed at this discovery, he hastened to the house, which was situated in a mean street, near the Reuss."
9.30749,8.184415,"Beaufort had saved but a very small sum of money from the wreck of his fortunes; but it was sufficient to provide him with sustenance for some months, and in the mean time he hoped to procure some respectable employment in a merchant's house."
7.9955797,10.8327055,"The interval was, consequently, spent in inaction; his grief only became more deep and rankling, when he had leisure for reflection; and at length it took so fast hold of his mind, that at the end of three months he lay on a bed of sickness, incapable of any exertion."
9.913028,8.157904,"His daughter attended him with the greatest tenderness; but she saw with despair that their little fund was rapidly decreasing, and that there was no other prospect of support."
10.943769,8.4554825,But Caroline Beaufort possessed a mind of an uncommon mould; and her courage rose to support her in her adversity.
9.13212,8.067081,She procured plain work; she plaited straw; and by various means contrived to earn a pittance scarcely sufficient to support life.
9.810974,8.0973,"Her father grew worse; her time was more entirely occupied in attending him; her means of subsistence decreased; and in the tenth month her father died in her arms, leaving her an orphan and a beggar."
10.688789,9.007309,"This last blow overcame her; and she knelt by Beaufort's coffin, weeping bitterly, when my father entered the chamber."
9.607463,7.6339517,"He came like a protecting spirit to the poor girl, who committed herself to his care; and after the interment of his friend, he conducted her to Geneva, and placed her under the protection of a relation."
9.415409,8.970517,"There was a considerable difference between the ages of my parents, but this circumstance seemed to unite them only closer in bonds of devoted affection."
9.167372,9.964622,"There was a sense of justice in my father's upright mind, which rendered it necessary that he should approve highly to love strongly."
9.634064,8.17352,"Perhaps during former years he had suffered from the late-discovered unworthiness of one beloved, and so was disposed to set a greater value on tried worth."
9.977357,8.714692,"There was a show of gratitude and worship in his attachment to my mother, differing wholly from the doating fondness of age, for it was inspired by reverence for her virtues, and a desire to be the means of, in some degree, recompensing her for the sorrows she had endured, but which gave inexpressible grace to his behaviour to her."
10.047744,8.351741,"He strove to shelter her, as a fair exotic is sheltered by the gardener, from every rougher wind, and to surround her with all that could tend to excite pleasurable emotion in her soft and benevolent mind."
11.043513,8.531684,"Her health, and even the tranquillity of her hitherto constant spirit, had been shaken by what she had gone through."
9.694277,7.7442307,"During the two years that had elapsed previous to their marriage my father had gradually relinquished all his public functions; and immediately after their union they sought the pleasant climate of Italy, and the change of scene and interest attendant on a tour through that land of wonders, as a restorative for her weakened frame."
9.388129,9.167862,"Much as they were attached to each other, they seemed to draw inexhaustible stores of affection from a very mine of love to bestow them upon me."
9.310456,8.947045,"My mother's tender caresses, and my father's smile of benevolent pleasure while regarding me, are my first recollections."
9.397754,11.425051,"I was their plaything and their idol, and something better--their child, the innocent and helpless creature bestowed on them by Heaven, whom to bring up to good, and whose future lot it was in their hands to direct to happiness or misery, according as they fulfilled their duties towards me."
9.082961,9.27603,"With this deep consciousness of what they owed towards the being to which they had given life, added to the active spirit of tenderness that animated both, it may be imagined that while during every hour of my infant life I received a lesson of patience, of charity, and of self-control, I was so guided by a silken cord, that all seemed but one train of enjoyment to me."
6.0322213,9.543488,"When I was about five years old, while making an excursion beyond the frontiers of Italy, they passed a week on the shores of the Lake of Como."
10.130984,8.781423,"This, to my mother, was more than a duty; it was a necessity, a passion,--remembering what she had suffered, and how she had been relieved,--for her to act in her turn the guardian angel to the afflicted."
7.0704165,8.939993,"During one of their walks a poor cot in the foldings of a vale attracted their notice, as being singularly disconsolate, while the number of half-clothed children gathered about it, spoke of penury in its worst shape."
9.621034,7.7278,"One day, when my father had gone by himself to Milan, my mother, accompanied by me, visited this abode."
6.816103,8.934527,"She found a peasant and his wife, hard working, bent down by care and labour, distributing a scanty meal to five hungry babes."
10.542387,8.3617115,"Her hair was the brightest living gold, and, despite the poverty of her clothing, seemed to set a crown of distinction on her head."
10.579722,8.467841,"Her brow was clear and ample, her blue eyes cloudless, and her lips and the moulding of her face so expressive of sensibility and sweetness, that none could behold her without looking on her as of a distinct species, a being heaven-sent, and bearing a celestial stamp in all her features."
10.230616,8.497045,"The peasant woman, perceiving that my mother fixed eyes of wonder and admiration on this lovely girl, eagerly communicated her history."
9.556374,7.866072,"The father of their charge was one of those Italians nursed in the memory of the antique glory of Italy,--one among the _schiavi ognor frementi_, who exerted himself to obtain the liberty of his country."
10.189712,8.339074,"She continued with her foster parents, and bloomed in their rude abode, fairer than a garden rose among dark-leaved brambles."
10.155469,8.18296,"When my father returned from Milan, he found playing with me in the hall of our villa, a child fairer than pictured cherub--a creature who seemed to shed radiance from her looks, and whose form and motions were lighter than the chamois of the hills."
10.786883,8.425363,"Her presence had seemed a blessing to them; but it would be unfair to her to keep her in poverty and want, when Providence afforded her such powerful protection."
10.735108,9.1378,"They consulted their village priest, and the result was, that Elizabeth Lavenza became the inmate of my parents' house--my more than sister--the beautiful and adored companion of all my occupations and my pleasures."
10.3333,8.610992,"The passionate and almost reverential attachment with which all regarded her became, while I shared it, my pride and my delight."
10.163877,9.134422,"On the evening previous to her being brought to my home, my mother had said playfully,--""I have a pretty present for my Victor--to-morrow he shall have it."""
10.560653,9.328921,"And when, on the morrow, she presented Elizabeth to me as her promised gift, I, with childish seriousness, interpreted her words literally, and looked upon Elizabeth as mine--mine to protect, love, and cherish."
10.354078,8.840968,"No word, no expression could body forth the kind of relation in which she stood to me--my more than sister, since till death she was to be mine only."
8.928097,9.006848,"Harmony was the soul of our companionship, and the diversity and contrast that subsisted in our characters drew us nearer together."
9.000982,8.940091,"Elizabeth was of a calmer and more concentrated disposition; but, with all my ardour, I was capable of a more intense application, and was more deeply smitten with the thirst for knowledge."
4.858682,10.841644,"She busied herself with following the aerial creations of the poets; and in the majestic and wondrous scenes which surrounded our Swiss home--the sublime shapes of the mountains; the changes of the seasons; tempest and calm; the silence of winter, and the life and turbulence of our Alpine summers,--she found ample scope for admiration and delight."
6.1757727,11.766327,"While my companion contemplated with a serious and satisfied spirit the magnificent appearances of things, I delighted in investigating their causes."
6.129851,11.904519,"Curiosity, earnest research to learn the hidden laws of nature, gladness akin to rapture, as they were unfolded to me, are among the earliest sensations I can remember."
8.761682,8.618387,"On the birth of a second son, my junior by seven years, my parents gave up entirely their wandering life, and fixed themselves in their native country."
7.1853437,8.4520855,"We possessed a house in Geneva, and a _campagne_ on Belrive, the eastern shore of the lake, at the distance of rather more than a league from the city."
9.193115,8.495603,"We resided principally in the latter, and the lives of my parents were passed in considerable seclusion."
9.172342,9.790643,"I was indifferent, therefore, to my schoolfellows in general; but I united myself in the bonds of the closest friendship to one among them."
9.251805,10.8632345,"He tried to make us act plays, and to enter into masquerades, in which the characters were drawn from the heroes of Roncesvalles, of the Round Table of King Arthur, and the chivalrous train who shed their blood to redeem the holy sepulchre from the hands of the infidels."
8.749286,9.050745,"We felt that they were not the tyrants to rule our lot according to their caprice, but the agents and creators of all the many delights which we enjoyed."
9.19035,8.96876,"When I mingled with other families, I distinctly discerned how peculiarly fortunate my lot was, and gratitude assisted the developement of filial love."
8.48422,9.825913,"My temper was sometimes violent, and my passions vehement; but by some law in my temperature they were turned, not towards childish pursuits, but to an eager desire to learn, and not to learn all things indiscriminately."
8.148075,8.844512,"I confess that neither the structure of languages, nor the code of governments, nor the politics of various states, possessed attractions for me."
6.194697,12.358103,"It was the secrets of heaven and earth that I desired to learn; and whether it was the outward substance of things, or the inner spirit of nature and the mysterious soul of man that occupied me, still my enquiries were directed to the metaphysical, or, in its highest sense, the physical secrets of the world."
8.505864,9.459733,"The busy stage of life, the virtues of heroes, and the actions of men, were his theme; and his hope and his dream was to become one among those whose names are recorded in story, as the gallant and adventurous benefactors of our species."
10.555332,8.647845,"Her sympathy was ours; her smile, her soft voice, the sweet glance of her celestial eyes, were ever there to bless and animate us."
10.494119,8.667368,"She was the living spirit of love to soften and attract: I might have become sullen in my study, rough through the ardour of my nature, but that she was there to subdue me to a semblance of her own gentleness."
